,,,,,,,,,,,
,REAL-TIME HIGH-QUALITY LEAD PACK,,,,,,,,,,
,,,,,,,,,,,
,"Global social media, community, KOL/affiliate, crypto marketing, fundraising support and AI automation | Verified 29 Aug 2026 (PKT)",,,,,,,,,,
,,,,,,,,,,,
,"10
QUALIFIED LEADS",,,"30
NAMED CONTACTS",,,"53
EVIDENCE LINKS",,,"8
A / A+ LEADS",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,IMMEDIATE OUTREACH QUEUE,,,,,,,,,,
,Rank,Tier,Score,Project,Signal,,First Contact,,Recommended Offer,,Source
,1,A+,99,Sui Foundation,"Official Social Media Marketing Manager contract: 5+ X accounts, video, community engagement, analytics/reporting and AI-enabled workflows; 40 hours/week at $60-$75/hour.",,Jameel Khalfan — Head of Ecosystem Development,,"30-day managed Web3 social pod: multi-account X operations, creative/video, community response, weekly analytics and AI-assisted workflow setup.",,Open
,2,A+,98,Immunefi,"Official board has Community Manager, Marketing Lead and Head of Sales openings. Leadership describes a 'Refounding' phase and wants AI-agent workflows, token marketing and a rebuilt marketing system.",,Sajad Ghanizada — Head of Ecosystem Marketing,,"60-day community and marketing operating system: Discord/X coverage, campaign calendar, AI-assisted production, moderation SOPs, analytics and token-education content.",,Open
,3,A+,97,The Tie,"Social Media & Content Manager opening is live. In the same week, The Tie acquired Staking Rewards and Liquidity Land and ran its Out East Summit, creating immediate multi-brand and event-content load.",,Hari Iyer — VP of Marketing,,"Acquisition-and-events content pod: executive LinkedIn/X, multi-brand editorial calendar, video clips, event recaps and distribution analytics.",,Open
,4,A+,96,Substrate Bio,"First dedicated Community Manager hire will build channels, content, events and feedback loops from zero around London and San Francisco lab launches; the company plans to grow to about 30 people by early 2027.",,Anna Huyghues-Despointes — Co-founder; Partnerships & Go-to-Market,,"Foundational community sprint: channel architecture, technical editorial calendar, London launch event content, newsletter and measurable researcher outreach workflow.",,Open
,5,A,95,Aptos Foundation,"Official Community Manager, Korea opening covers Telegram, Discord, X, Kakao and Naver; ambassadors, content, events and collaboration with APAC marketing.",,"Ariana Gianacopoulos — Head of Marketing, Aptos Labs (adjacent operating organization)",,"Korea/APAC community pod with local moderators, ambassador operations, localized content, KOL outreach and monthly online/offline activations.",,Open
,6,A,94,BIO Protocol,"Science Community Lead opening owns Discord, onboarding, AMAs, journal clubs, voice chats and X Spaces. BIO is also actively running DeSci fundraising education and fresh research/community content.",,Michelangelo Gallia — Business Development / Launchpad Fundraising Lead,,"DeSci community growth pod: Discord operations, scientist onboarding, AMA/X Spaces production, launchpad storytelling and fundraising campaign support.",,Open
,7,A,93,Sahara AI,"Social Media Manager & Content Specialist is being actively relisted as a six-month contract; duties include X/Discord, community engagement, X Spaces/AMAs, content and analytics. Korea Community Manager was also recently listed.",,"Javier Ruedas — Community, Sahara AI",,"Six-month managed social/community contract with Web3 copy, creative, X/Discord operations, Spaces/AMAs and performance reporting.",,Open
,,,,,,,,,,,
,,,,,,,,,,,
,HOW TO USE THIS FILE,,,,,,,,,,
,1. Start with A+ leads. Open the signal source and confirm the role/post is still live before sending a message.,,,,,,,,,,
,2. Use the first-ranked person in Contacts. Personalize the supplied first message with one relevant proof point or case study.,,,,,,,,,,
,3. Pitch a managed pilot or overflow pod — do not present yourself as a job applicant unless that is your intent.,,,,,,,,,,
,"4. Record activity in Lead Summary: Outreach Status, Owner, Last Contacted and Next Action.",,,,,,,,,,
,"5. Public contact data only. No guessed emails, private phone numbers or scraped personal data are included.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Important: a live hiring post is a high-intent signal, not proof that the organization will outsource. Verify live status, lead with a low-risk pilot, and use the evidence links before every outreach.",,,,,,,,,,
